,[OVERALL] Throughput(ops/sec),[TOTAL_GCS_G1_Young_Generation] Count,[TOTAL_GC_TIME_G1_Young_Generation] Time(ms),[TOTAL_GC_TIME_%_G1_Young_Generation] Time(%),[TOTAL_GCS_G1_Old_Generation] Count,[TOTAL_GC_TIME_G1_Old_Generation] Time(ms),[TOTAL_GC_TIME_%_G1_Old_Generation] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK,database,num_nodes,i,read_proportion,write_proportion,id,[OVERALL] RunTime(ms)
0,399.616368286445,2.0,22.0,0.0879156010230179,0.0,0.0,0.0,2.0,22.0,0.0879156010230179,4955.0,1903.541271442987,860.0,142847.0,3561.0,5699.0,4955.0,1.0,5718.0,5716.0,5719.0,5719.0,5719.0,5045.0,2334.448364717542,1069.0,457727.0,4143.0,6731.0,5045.0,mongodb,7,0,0.5,0.5,0-0.5-0.5-7-mongodb,
1,438.7504387504388,2.0,19.0,0.0833625833625833,0.0,0.0,0.0,2.0,19.0,0.0833625833625833,978.0,2030.5368098159508,987.0,31759.0,3553.0,5447.0,978.0,1.0,5806.0,5804.0,5807.0,5807.0,5807.0,9022.0,2167.991132786522,1119.0,147199.0,3629.0,6175.0,9022.0,mongodb,5,8,0.1,0.9,8-0.1-0.9-5-mongodb,
2,444.5037116059919,2.0,17.0,0.0755656309730186,0.0,0.0,0.0,2.0,17.0,0.0755656309730186,1005.0,1954.0189054726368,1171.0,33023.0,2719.0,3591.0,1005.0,1.0,8748.0,8744.0,8751.0,8751.0,8751.0,8995.0,2141.6468037798777,1224.0,115967.0,2925.0,3869.0,8995.0,mongodb,7,4,0.1,0.9,4-0.1-0.9-7-mongodb,
3,444.9586188484471,2.0,22.0,0.0978908961466583,0.0,0.0,0.0,2.0,22.0,0.0978908961466583,1033.0,1950.139399806389,1099.0,32863.0,2645.0,3557.0,1033.0,1.0,6726.0,6724.0,6727.0,6727.0,6727.0,8967.0,2147.514887922382,1149.0,119423.0,2945.0,3891.0,8967.0,mongodb,7,2,0.1,0.9,2-0.1-0.9-7-mongodb,
4,445.275625612254,2.0,18.0,0.0801496126102057,0.0,0.0,0.0,2.0,18.0,0.0801496126102057,998.0,1963.813627254509,1111.0,30351.0,2775.0,3789.0,998.0,1.0,6854.0,6852.0,6855.0,6855.0,6855.0,9002.0,2153.2485003332595,1194.0,178815.0,2985.0,4011.0,9002.0,mongodb,7,9,0.1,0.9,9-0.1-0.9-7-mongodb,
5,447.56747079622255,2.0,18.0,0.08056214474332,0.0,0.0,0.0,2.0,18.0,0.08056214474332,1020.0,1965.308823529412,1110.0,30159.0,2691.0,3825.0,1020.0,1.0,6562.0,6560.0,6563.0,6563.0,6563.0,8980.0,2131.355456570156,1128.0,152703.0,2975.0,4011.0,8980.0,mongodb,7,5,0.1,0.9,5-0.1-0.9-7-mongodb,
6,448.1089801039613,2.0,15.0,0.0672163470155941,0.0,0.0,0.0,2.0,15.0,0.0672163470155941,1012.0,2076.304347826087,1091.0,142975.0,3119.0,4963.0,1012.0,1.0,6274.0,6272.0,6275.0,6275.0,6275.0,8988.0,2109.031375166889,1135.0,31503.0,3399.0,4603.0,8988.0,mongodb,5,0,0.1,0.9,0-0.1-0.9-5-mongodb,
7,452.1408871004205,2.0,17.0,0.0768639508070714,0.0,0.0,0.0,2.0,17.0,0.0768639508070714,1051.0,1982.6489058039965,1174.0,32511.0,2779.0,3975.0,1051.0,1.0,6082.0,6080.0,6083.0,6083.0,6083.0,8949.0,2108.2049390993407,1180.0,132863.0,2921.0,3915.0,8949.0,mongodb,7,7,0.1,0.9,7-0.1-0.9-7-mongodb,
8,452.2022248349462,2.0,16.0,0.0723523559735913,0.0,0.0,0.0,2.0,16.0,0.0723523559735913,973.0,1970.9794450154163,1010.0,33247.0,2837.0,4159.0,973.0,1.0,5738.0,5736.0,5739.0,5739.0,5739.0,9027.0,2113.23629112662,1224.0,178943.0,2931.0,3865.0,9027.0,mongodb,7,6,0.1,0.9,6-0.1-0.9-7-mongodb,
9,454.9590536851683,2.0,18.0,0.0818926296633303,0.0,0.0,0.0,2.0,18.0,0.0818926296633303,985.0,1901.077157360406,962.0,33599.0,2927.0,3911.0,985.0,1.0,5890.0,5888.0,5891.0,5891.0,5891.0,9015.0,2098.6708818635607,1142.0,200703.0,3321.0,4519.0,9015.0,mongodb,5,6,0.1,0.9,6-0.1-0.9-5-mongodb,
